,count,mean,std,min,25%,50%,75%,max
subscribers,854.0,22703278.68852459,17070967.340242334,12300000.0,14500000.0,17650000.0,24100000.0,245000000.0
views,854.0,11434321433.19438,14880253418.78737,10664585.0,4353491840.75,7891461348.5,13912550994.25,228000000000.0
category,854.0,6.086651053864169,3.6183050027092483,0.0,3.0,5.0,8.0,17.0
uploads,854.0,10656.099531615924,36654.6927868667,10.0,338.5,975.0,3557.5,301308.0
created_year,854.0,2012.4426229508197,4.307452649646319,1970.0,2009.0,2013.0,2015.75,2022.0
